1.135808,0.177197,6.7
0.936799,0.175121,6.5
1.036304,0.190835,6.3
1.931845,0.190147,6.1
2.230358,0.232277,5.9
2.628377,0.268836,5.7
2.92689,0.372025,5.5
2.827386,0.296193,5.3
2.727881,0.331318,5.1
2.429368,0.322307,4.9
2.031349,0.231533,4.7
1.533826,0.212917,4.5
1.83234,0.225601,4.3
2.727881,0.258886,4.1
4.021441,0.435114,3.9
5.414505,0.435366,3.7
5.315,0.532834,3.5
5.713018,0.606996,3.3
4.916982,0.513579,3.1
3.225404,0.324078,2.9
1.83234,0.213808,2.7
2.031349,0.269913,2.5
4.916982,0.336255,2.3
9.792706,0.463451,2.1
14.568925,0.418775,1.9
0.837294,0.202166,1.7
15.265457,0.697591,1.5
9.394688,0.498511,1.3
2.827386,0.262701,1.1
3.1259,0.334099,0.9
18.15109,0.473064,0.7
51.186608,0.530517,0.5
0.73779,0.170218,0.3
184.622241,1.225639,0.1
262.534321,1.96815,-0.1
329.003376,2.2787,-0.3
368.506691,2.473375,-0.5
372.287865,2.243055,-0.7
339.451356,2.550163,-0.9
264.424908,1.844403,-1.1
195.070221,1.528943,-1.3
124.421974,0.994695,-1.5
66.112294,0.599193,-1.7
25.812942,0.765682,-1.9
5.514009,0.50432,-2.1
9.991715,0.576608,-2.6
10.588743,0.500673,-3.3
